station_name,state,city,latitude,longitude,charger_type,total_slots,occupied_slots,available_slots,busy_level,wait_time_min
Hitec City EV Hub,Telangana,Hyderabad,17.44745,78.37623,DC Fast,8,2,6,Medium,0
Banjara Hills EV Station,Telangana,Hyderabad,17.4156,78.4347,AC Slow,4,1,3,Medium,0
Gachibowli EV Point,Telangana,Hyderabad,17.44002,78.3489,DC Fast,6,2,4,Low,0
Jubilee Hills Charger,Telangana,Hyderabad,17.4318,78.4072,AC Fast,4,0,4,Low,0
Ameerpet Charge Zone,Telangana,Hyderabad,17.4374,78.4487,DC Fast,6,2,4,Medium,0
Secunderabad EV Hub,Telangana,Hyderabad,17.4399,78.4983,AC Slow,3,0,3,Low,0
Kondapur EV Station,Telangana,Hyderabad,17.4607,78.3576,DC Fast,8,2,6,Low,0
Madhapur Charger,Telangana,Hyderabad,17.4486,78.3908,AC Fast,4,0,4,Low,0
Kukatpally EV Point,Telangana,Hyderabad,17.4849,78.4138,DC Fast,6,4,2,Medium,0
LB Nagar Station,Telangana,Hyderabad,17.349,78.5518,AC Slow,3,1,2,Medium,0
Dilsukhnagar Charger,Telangana,Hyderabad,17.3686,78.5265,DC Fast,4,2,2,Medium,0
Mehdipatnam EV Hub,Telangana,Hyderabad,17.3929,78.4323,AC Fast,4,2,2,High,0
Uppal Charge Zone,Telangana,Hyderabad,17.4059,78.5592,DC Fast,6,4,2,High,0
Miyapur EV Point,Telangana,Hyderabad,17.4948,78.3563,DC Fast,8,4,4,Medium,0
Begumpet Station,Telangana,Hyderabad,17.444,78.467,AC Fast,4,0,4,Low,0
Shamshabad EV Hub,Telangana,Hyderabad,17.2407,78.4295,DC Fast,10,8,2,High,0
Kompally Charger,Telangana,Hyderabad,17.5434,78.4847,DC Fast,6,1,5,Low,0
Nallagandla EV Station,Telangana,Hyderabad,17.4488,78.3264,AC Fast,4,1,3,Low,0
Manikonda Charge Point,Telangana,Hyderabad,17.3942,78.3871,AC Slow,3,1,2,Medium,0
PVNR Expressway EV,Telangana,Hyderabad,17.3721,78.4783,DC Fast,8,2,6,Medium,0
Hanamkonda Main Charger,Telangana,Hanamkonda,18.0139,79.5647,DC Fast,6,5,1,High,0
Warangal Station EV Hub,Telangana,Warangal,17.9784,79.5941,AC Slow,3,1,2,Low,0
Kazipet EV Point,Telangana,Warangal,17.968,79.623,DC Fast,4,4,0,High,16
Hunter Road Charger,Telangana,Hanamkonda,18.0063,79.5723,AC Fast,4,1,3,Medium,0
NIT Warangal EV Station,Telangana,Warangal,17.9856,79.5308,DC Fast,6,0,6,Low,0
Subedari Charge Zone,Telangana,Hanamkonda,18.0198,79.558,AC Slow,3,2,1,High,0
Nakkalagutta EV Hub,Telangana,Hanamkonda,18.0221,79.5502,DC Fast,4,2,2,High,0
Hanamkonda Bus Stand EV,Telangana,Hanamkonda,18.0154,79.5611,AC Fast,4,1,3,Low,0
Mulugu Road Station,Telangana,Warangal,17.9901,79.5867,DC Fast,6,3,3,Medium,0
Wardhannapet Charger,Telangana,Warangal,17.9634,79.6102,AC Slow,3,1,2,Low,0
Karimnagar EV Hub,Telangana,Karimnagar,18.4377,79.1288,DC Fast,4,1,3,Low,0
Karimnagar City Charger,Telangana,Karimnagar,18.4341,79.1391,AC Fast,3,1,2,Medium,0
Nizamabad EV Station,Telangana,Nizamabad,18.672,78.094,DC Fast,4,1,3,Medium,0
Visakhapatnam EV Hub,Andhra Pradesh,Visakhapatnam,17.6867,83.2185,DC Fast,8,3,5,Medium,0
Vizag Steel Gate Charger,Andhra Pradesh,Visakhapatnam,17.6987,83.2815,AC Fast,4,1,3,Low,0
Rushikonda EV Point,Andhra Pradesh,Visakhapatnam,17.7753,83.3742,DC Fast,4,0,4,Low,0
Vijayawada EV Hub,Andhra Pradesh,Vijayawada,16.5062,80.648,DC Fast,8,2,6,Medium,0
Benz Circle Charger,Andhra Pradesh,Vijayawada,16.5143,80.6318,AC Fast,4,0,4,Low,0
Guntur EV Station,Andhra Pradesh,Guntur,16.3067,80.4365,DC Fast,4,3,1,High,0
Tirupati EV Hub,Andhra Pradesh,Tirupati,13.6288,79.4192,DC Fast,6,0,6,Low,0
Tirumala Charger,Andhra Pradesh,Tirupati,13.6834,79.3471,AC Fast,4,4,0,High,27
Nellore EV Station,Andhra Pradesh,Nellore,14.4449,79.9864,DC Fast,4,1,3,Low,0
Kurnool EV Hub,Andhra Pradesh,Kurnool,15.8289,78.055,AC Fast,3,1,2,Low,0
Koramangala EV Hub,Karnataka,Bengaluru,12.9352,77.6245,DC Fast,8,0,8,Low,0
Whitefield Charger,Karnataka,Bengaluru,12.9698,77.7499,DC Fast,10,2,8,Low,0
Indiranagar EV Station,Karnataka,Bengaluru,12.9784,77.6408,AC Fast,6,3,3,Medium,0
Electronic City EV Hub,Karnataka,Bengaluru,12.8399,77.677,DC Fast,10,9,1,High,0
HSR Layout Charger,Karnataka,Bengaluru,12.9116,77.6474,AC Slow,4,0,4,Low,0
Marathahalli EV Point,Karnataka,Bengaluru,12.9562,77.7008,DC Fast,6,2,4,Medium,0
Hebbal EV Station,Karnataka,Bengaluru,13.0356,77.5974,DC Fast,6,4,2,High,0
Yeshwanthpur Charger,Karnataka,Bengaluru,13.0231,77.5418,AC Fast,4,0,4,Low,0
Jayanagar EV Hub,Karnataka,Bengaluru,12.9247,77.5834,DC Fast,6,5,1,High,0
Mysuru EV Hub,Karnataka,Mysuru,12.2953,76.6392,DC Fast,6,3,3,Medium,0
Mysuru Palace Charger,Karnataka,Mysuru,12.3052,76.6553,AC Fast,4,1,3,Low,0
Mangaluru EV Station,Karnataka,Mangaluru,12.8738,74.842,DC Fast,4,1,3,Medium,0
Hubli EV Hub,Karnataka,Hubli,15.3597,75.1349,DC Fast,4,1,3,Medium,0
OMR EV Hub,Tamil Nadu,Chennai,12.901,80.2279,DC Fast,8,4,4,Medium,0
Anna Nagar Charger,Tamil Nadu,Chennai,13.0891,80.2099,AC Fast,4,3,1,High,0
T Nagar EV Station,Tamil Nadu,Chennai,13.0418,80.2341,DC Fast,6,1,5,Low,0
Velachery Charger,Tamil Nadu,Chennai,12.9784,80.2208,DC Fast,6,0,6,Low,0
