hour,day,temperature,rain,availability_percentage,congestion_level
6,5,26.6,0,49.86,1
19,0,38.6,0,100.0,0
14,4,33.6,1,98.78,0
10,5,17.5,0,60.99,1
7,3,39.7,1,45.77,1
20,3,35.3,0,100.0,0
6,4,21.0,1,51.87,1
18,0,17.4,1,100.0,0
22,3,40.1,1,100.0,0
10,2,17.4,0,62.83,1
10,5,17.7,0,65.26,0
23,4,27.8,1,92.36,0
20,1,19.0,0,100.0,0
3,1,42.4,0,50.21,1
7,0,29.1,1,55.32,1
23,2,32.1,0,90.54,0
2,3,42.8,0,60.53,1
21,1,30.9,1,100.0,0
20,0,25.6,1,100.0,0
1,5,38.9,0,78.09,0
23,2,28.3,0,93.05,0
11,2,24.6,0,68.25,0
5,6,36.7,1,48.53,1
1,0,39.0,0,71.71,0
20,0,38.8,0,100.0,0
0,6,44.3,0,69.58,0
11,3,38.6,0,71.09,0
21,0,38.1,0,99.28,0
11,6,40.7,0,76.41,0
16,3,15.0,1,100.0,0
9,3,25.9,1,71.96,0
15,4,37.1,1,100.0,0
14,2,33.0,0,90.74,0
14,5,20.3,0,99.67,0
18,2,24.1,1,100.0,0
11,2,25.1,1,77.44,0
22,4,32.0,1,100.0,0
19,3,39.9,1,100.0,0
2,3,43.0,1,58.13,1
4,0,37.5,0,49.11,1
18,4,40.3,0,100.0,0
6,0,29.1,0,49.25,1
20,4,26.7,0,100.0,0
8,0,26.8,0,58.95,1
6,1,33.5,1,45.97,1
17,6,18.7,1,100.0,0
3,2,32.4,0,66.42,0
13,2,35.0,1,91.74,0
17,5,28.2,0,99.91,0
8,6,43.6,0,49.56,1
20,3,33.2,1,100.0,0
1,5,21.6,0,75.32,0
19,1,29.4,0,100.0,0
14,5,35.3,0,95.38,0
6,2,24.7,1,51.93,1
11,3,17.4,1,76.98,0
7,1,32.5,0,48.42,1
14,2,43.4,0,92.93,0
2,6,29.6,1,64.19,1
13,0,42.2,1,99.39,0
16,4,40.1,1,95.85,0
3,1,19.4,1,58.43,1
17,3,36.2,0,100.0,0
7,5,28.1,0,53.94,1
3,6,22.5,0,60.67,1
1,5,35.6,1,78.93,0
5,1,37.3,1,56.68,1
21,6,20.4,0,100.0,0
9,3,42.4,1,61.4,1
3,1,37.5,0,40.82,1
21,3,43.0,1,100.0,0
17,5,24.5,0,100.0,0
11,2,43.2,0,77.85,0
1,6,26.1,0,69.29,0
9,0,16.6,0,62.62,1
3,2,37.9,1,68.54,0
13,0,36.1,0,88.73,0
15,5,32.9,0,100.0,0
14,6,29.7,0,99.9,0
7,2,16.0,0,51.27,1
13,2,33.7,1,100.0,0
22,1,27.5,0,98.96,0
